,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
133,100,10,1,1,64,0.99,1,0.001,0.985,0.001,-223399,"   Woman  Man
0      2    7"
134,100,10,1,1,64,0.99,1,0.001,0.995,0.0005,-236959,"   Woman  Man
0      2    7"
135,100,10,1,1,64,0.99,1,0.001,0.995,0.001,-204513,"   Woman  Man
0      1    8"
136,100,10,1,1,64,0.99,0.5,0.1,0.985,0.0005,-228216,"   Woman  Man
0      2    7"
137,100,10,1,1,64,0.99,0.5,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
138,100,10,1,1,64,0.99,0.5,0.1,0.995,0.0005,-222091,"   Woman  Man
0      1    8"
139,100,10,1,1,64,0.99,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
140,100,10,1,1,64,0.99,0.5,0.001,0.985,0.0005,-238458,"   Woman  Man
0      1    8"
141,100,10,1,1,64,0.99,0.5,0.001,0.985,0.001,-228847,"   Woman  Man
0      2    7"
142,100,10,1,1,64,0.99,0.5,0.001,0.995,0.0005,-208075,"   Woman  Man
0      1    8"
143,100,10,1,1,64,0.99,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
144,100,20,1,1,16,0.9,1,0.1,0.985,0.0005,-660389,"   Woman  Man
0      2   17"
145,100,20,1,1,16,0.9,1,0.1,0.985,0.001,-799249,"   Woman  Man
0      1   18"
146,100,20,1,1,16,0.9,1,0.1,0.995,0.0005,-656105,"   Woman  Man
0      2   17"
147,100,20,1,1,16,0.9,1,0.1,0.995,0.001,-740822,"   Woman  Man
0      3   16"
148,100,20,1,1,16,0.9,1,0.001,0.985,0.0005,-658349,"   Woman  Man
0      2   17"
149,100,20,1,1,16,0.9,1,0.001,0.985,0.001,-837692,"   Woman  Man
0      3   16"
150,100,20,1,1,16,0.9,1,0.001,0.995,0.0005,-684221,"   Woman  Man
0      2   17"
151,100,20,1,1,16,0.9,1,0.001,0.995,0.001,-777517,"   Woman  Man
0      2   17"
152,100,20,1,1,16,0.9,0.5,0.1,0.985,0.0005,-656105,"   Woman  Man
0      2   17"
153,100,20,1,1,16,0.9,0.5,0.1,0.985,0.001,-721438,"   Woman  Man
0      2   17"
154,100,20,1,1,16,0.9,0.5,0.1,0.995,0.0005,-658349,"   Woman  Man
0      2   17"
155,100,20,1,1,16,0.9,0.5,0.1,0.995,0.001,-836915,"   Woman  Man
0      3   16"
156,100,20,1,1,16,0.9,0.5,0.001,0.985,0.0005,-640771,"   Woman  Man
0      2   17"
157,100,20,1,1,16,0.9,0.5,0.001,0.985,0.001,-795386,"   Woman  Man
0      1   18"
158,100,20,1,1,16,0.9,0.5,0.001,0.995,0.0005,-671357,"   Woman  Man
0      2   17"
159,100,20,1,1,16,0.9,0.5,0.001,0.995,0.001,-781921,"   Woman  Man
0      2   17"
160,100,20,1,1,16,0.95,1,0.1,0.985,0.0005,-782353,"   Woman  Man
0      1   18"
161,100,20,1,1,16,0.95,1,0.1,0.985,0.001,-812797,"   Woman  Man
0      2   17"
162,100,20,1,1,16,0.95,1,0.1,0.995,0.0005,-669559,"   Woman  Man
0      2   17"
163,100,20,1,1,16,0.95,1,0.1,0.995,0.001,-743665,"   Woman  Man
0      3   16"
164,100,20,1,1,16,0.95,1,0.001,0.985,0.0005,-729635,"   Woman  Man
0      2   17"
165,100,20,1,1,16,0.95,1,0.001,0.985,0.001,-828365,"   Woman  Man
0      2   17"
166,100,20,1,1,16,0.95,1,0.001,0.995,0.0005,-728832,"   Woman  Man
0      3   16"
167,100,20,1,1,16,0.95,1,0.001,0.995,0.001,-848793,"   Woman  Man
0      1   18"
168,100,20,1,1,16,0.95,0.5,0.1,0.985,0.0005,-759231,"   Woman  Man
0      2   17"
169,100,20,1,1,16,0.95,0.5,0.1,0.985,0.001,-836548,"   Woman  Man
0      2   17"
170,100,20,1,1,16,0.95,0.5,0.1,0.995,0.0005,-710785,"   Woman  Man
0      3   16"
171,100,20,1,1,16,0.95,0.5,0.1,0.995,0.001,-908395,"   Woman  Man
0      2   17"
172,100,20,1,1,16,0.95,0.5,0.001,0.985,0.0005,-681065,"   Woman  Man
0      2   17"
173,100,20,1,1,16,0.95,0.5,0.001,0.985,0.001,-712490,"   Woman  Man
0      2   17"
174,100,20,1,1,16,0.95,0.5,0.001,0.995,0.0005,-699852,"   Woman  Man
0      3   16"
175,100,20,1,1,16,0.95,0.5,0.001,0.995,0.001,-744581,"   Woman  Man
0      2   17"
176,100,20,1,1,16,0.99,1,0.1,0.985,0.0005,-960032,"   Woman  Man
0      1   18"
177,100,20,1,1,16,0.99,1,0.1,0.985,0.001,-816989,"   Woman  Man
0      3   16"
178,100,20,1,1,16,0.99,1,0.1,0.995,0.0005,-820027,"   Woman  Man
0      2   17"
179,100,20,1,1,16,0.99,1,0.1,0.995,0.001,-860084,"   Woman  Man
0      2   17"
180,100,20,1,1,16,0.99,1,0.001,0.985,0.0005,-777648,"   Woman  Man
0      2   17"
181,100,20,1,1,16,0.99,1,0.001,0.985,0.001,-805328,"   Woman  Man
0      2   17"
182,100,20,1,1,16,0.99,1,0.001,0.995,0.0005,-838113,"   Woman  Man
0      2   17"
183,100,20,1,1,16,0.99,1,0.001,0.995,0.001,-913083,"   Woman  Man
0      1   18"
184,100,20,1,1,16,0.99,0.5,0.1,0.985,0.0005,-742181,"   Woman  Man
0      2   17"
185,100,20,1,1,16,0.99,0.5,0.1,0.985,0.001,-901439,"   Woman  Man
0      1   18"
186,100,20,1,1,16,0.99,0.5,0.1,0.995,0.0005,-725386,"   Woman  Man
0      2   17"
187,100,20,1,1,16,0.99,0.5,0.1,0.995,0.001,-931044,"   Woman  Man
0      1   18"
188,100,20,1,1,16,0.99,0.5,0.001,0.985,0.0005,-1099826,"   Woman  Man
0      2   17"
189,100,20,1,1,16,0.99,0.5,0.001,0.985,0.001,-826638,"   Woman  Man
0      1   18"
190,100,20,1,1,16,0.99,0.5,0.001,0.995,0.0005,-813755,"   Woman  Man
0      2   17"
191,100,20,1,1,16,0.99,0.5,0.001,0.995,0.001,-844181,"   Woman  Man
0      1   18"
192,100,20,1,1,32,0.9,1,0.1,0.985,0.0005,-656105,"   Woman  Man
0      2   17"
193,100,20,1,1,32,0.9,1,0.1,0.985,0.001,-847544,"   Woman  Man
0      2   17"
194,100,20,1,1,32,0.9,1,0.1,0.995,0.0005,-658349,"   Woman  Man
0      2   17"
195,100,20,1,1,32,0.9,1,0.1,0.995,0.001,-776555,"   Woman  Man
0      2   17"
196,100,20,1,1,32,0.9,1,0.001,0.985,0.0005,-675979,"   Woman  Man
0      2   17"
197,100,20,1,1,32,0.9,1,0.001,0.985,0.001,-817239,"   Woman  Man
0      2   17"
198,100,20,1,1,32,0.9,1,0.001,0.995,0.0005,-661949,"   Woman  Man
0      2   17"
199,100,20,1,1,32,0.9,1,0.001,0.995,0.001,-742634,"   Woman  Man
0      2   17"
200,100,20,1,1,32,0.9,0.5,0.1,0.985,0.0005,-656105,"   Woman  Man
0      2   17"
201,100,20,1,1,32,0.9,0.5,0.1,0.985,0.001,-658349,"   Woman  Man
0      2   17"
202,100,20,1,1,32,0.9,0.5,0.1,0.995,0.0005,-656105,"   Woman  Man
0      2   17"
203,100,20,1,1,32,0.9,0.5,0.1,0.995,0.001,-824284,"   Woman  Man
0      2   17"
204,100,20,1,1,32,0.9,0.5,0.001,0.985,0.0005,-640771,"   Woman  Man
0      2   17"
205,100,20,1,1,32,0.9,0.5,0.001,0.985,0.001,-656105,"   Woman  Man
0      2   17"
206,100,20,1,1,32,0.9,0.5,0.001,0.995,0.0005,-677297,"   Woman  Man
0      2   17"
207,100,20,1,1,32,0.9,0.5,0.001,0.995,0.001,-828583,"   Woman  Man
0      1   18"
208,100,20,1,1,32,0.95,1,0.1,0.985,0.0005,-671632,"   Woman  Man
0      2   17"
209,100,20,1,1,32,0.95,1,0.1,0.985,0.001,-811492,"   Woman  Man
0      2   17"
210,100,20,1,1,32,0.95,1,0.1,0.995,0.0005,-656105,"   Woman  Man
0      2   17"
