,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,data
156,100,20,1,1,16,0.9,0.5,0.001,0.985,0.0005,-1311825.6,initial_data
157,100,20,1,1,16,0.9,0.5,0.001,0.985,0.001,-1370368.2,initial_data
158,100,20,1,1,16,0.9,0.5,0.001,0.995,0.0005,-1250769.0,initial_data
159,100,20,1,1,16,0.9,0.5,0.001,0.995,0.001,-1681508.4,initial_data
160,100,20,1,1,16,0.95,1,0.1,0.985,0.0005,-1211201.7000000002,initial_data
161,100,20,1,1,16,0.95,1,0.1,0.985,0.001,-1067938.6,initial_data
162,100,20,1,1,16,0.95,1,0.1,0.995,0.0005,-1195334.1,initial_data
163,100,20,1,1,16,0.95,1,0.1,0.995,0.001,-1836597.8,initial_data
164,100,20,1,1,16,0.95,1,0.001,0.985,0.0005,-1247283.7000000002,initial_data
165,100,20,1,1,16,0.95,1,0.001,0.985,0.001,-1262597.8,initial_data
166,100,20,1,1,16,0.95,1,0.001,0.995,0.0005,-1533261.2,initial_data
167,100,20,1,1,16,0.95,1,0.001,0.995,0.001,-1769391.1,initial_data
168,100,20,1,1,16,0.95,0.5,0.1,0.985,0.0005,-1233153.1,initial_data
169,100,20,1,1,16,0.95,0.5,0.1,0.985,0.001,-1684638.9,initial_data
170,100,20,1,1,16,0.95,0.5,0.1,0.995,0.0005,-1168827.0999999999,initial_data
171,100,20,1,1,16,0.95,0.5,0.1,0.995,0.001,-1735957.5,initial_data
172,100,20,1,1,16,0.95,0.5,0.001,0.985,0.0005,-1322394.4,initial_data
173,100,20,1,1,16,0.95,0.5,0.001,0.985,0.001,-1594681.2,initial_data
174,100,20,1,1,16,0.95,0.5,0.001,0.995,0.0005,-1456286.1,initial_data
175,100,20,1,1,16,0.95,0.5,0.001,0.995,0.001,-1645484.5999999999,initial_data
176,100,20,1,1,16,0.99,1,0.1,0.985,0.0005,-1168186.0,initial_data
177,100,20,1,1,16,0.99,1,0.1,0.985,0.001,-1250524.6,initial_data
178,100,20,1,1,16,0.99,1,0.1,0.995,0.0005,-1168148.7,initial_data
179,100,20,1,1,16,0.99,1,0.1,0.995,0.001,-1766752.5000000002,initial_data
180,100,20,1,1,16,0.99,1,0.001,0.985,0.0005,-1275669.4,initial_data
181,100,20,1,1,16,0.99,1,0.001,0.985,0.001,-1212455.3,initial_data
182,100,20,1,1,16,0.99,1,0.001,0.995,0.0005,-1199661.4000000001,initial_data
183,100,20,1,1,16,0.99,1,0.001,0.995,0.001,-1916605.0999999999,initial_data
184,100,20,1,1,16,0.99,0.5,0.1,0.985,0.0005,-1271884.9999999998,initial_data
185,100,20,1,1,16,0.99,0.5,0.1,0.985,0.001,-1608901.6,initial_data
186,100,20,1,1,16,0.99,0.5,0.1,0.995,0.0005,-1298004.7999999998,initial_data
187,100,20,1,1,16,0.99,0.5,0.1,0.995,0.001,-1468779.2,initial_data
188,100,20,1,1,16,0.99,0.5,0.001,0.985,0.0005,-1143644.4,initial_data
189,100,20,1,1,16,0.99,0.5,0.001,0.985,0.001,-1486988.5,initial_data
190,100,20,1,1,16,0.99,0.5,0.001,0.995,0.0005,-1851986.3,initial_data
191,100,20,1,1,16,0.99,0.5,0.001,0.995,0.001,-1623257.7,initial_data
192,100,20,1,1,32,0.9,1,0.1,0.985,0.0005,-1225702.8,initial_data
193,100,20,1,1,32,0.9,1,0.1,0.985,0.001,-1242548.2,initial_data
194,100,20,1,1,32,0.9,1,0.1,0.995,0.0005,-1239189.2000000002,initial_data
195,100,20,1,1,32,0.9,1,0.1,0.995,0.001,-1639737.0,initial_data
196,100,20,1,1,32,0.9,1,0.001,0.985,0.0005,-1239895.3,initial_data
197,100,20,1,1,32,0.9,1,0.001,0.985,0.001,-1243403.5,initial_data
198,100,20,1,1,32,0.9,1,0.001,0.995,0.0005,-1257695.4,initial_data
199,100,20,1,1,32,0.9,1,0.001,0.995,0.001,-1651606.0,initial_data
200,100,20,1,1,32,0.9,0.5,0.1,0.985,0.0005,-1235082.2000000002,initial_data
201,100,20,1,1,32,0.9,0.5,0.1,0.985,0.001,-1554606.4,initial_data
202,100,20,1,1,32,0.9,0.5,0.1,0.995,0.0005,-1267467.9000000001,initial_data
203,100,20,1,1,32,0.9,0.5,0.1,0.995,0.001,-1247218.2,initial_data
204,100,20,1,1,32,0.9,0.5,0.001,0.985,0.0005,-1240202.4000000001,initial_data
205,100,20,1,1,32,0.9,0.5,0.001,0.985,0.001,-1229268.5,initial_data
206,100,20,1,1,32,0.9,0.5,0.001,0.995,0.0005,-1212564.3,initial_data
207,100,20,1,1,32,0.9,0.5,0.001,0.995,0.001,-1231178.3,initial_data
208,100,20,1,1,32,0.95,1,0.1,0.985,0.0005,-1218246.6,initial_data
209,100,20,1,1,32,0.95,1,0.1,0.985,0.001,-1275606.5,initial_data
