,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
72,100,10,1,1,32,0.95,0.5,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
73,100,10,1,1,32,0.95,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
74,100,10,1,1,32,0.95,0.5,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
75,100,10,1,1,32,0.95,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
76,100,10,1,1,32,0.95,0.5,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
77,100,10,1,1,32,0.95,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
78,100,10,1,1,32,0.95,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
79,100,10,1,1,32,0.95,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
80,100,10,1,1,32,0.99,1,0.1,0.985,0.0005,-137092,"   Woman  Man
0      2    5"
81,100,10,1,1,32,0.99,1,0.1,0.985,0.001,-105572,"   Woman  Man
0      1    6"
82,100,10,1,1,32,0.99,1,0.1,0.995,0.0005,-105072,"   Woman  Man
0      0    7"
83,100,10,1,1,32,0.99,1,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
84,100,10,1,1,32,0.99,1,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
85,100,10,1,1,32,0.99,1,0.001,0.985,0.001,-105572,"   Woman  Man
0      1    6"
86,100,10,1,1,32,0.99,1,0.001,0.995,0.0005,-115268,"   Woman  Man
0      0    7"
87,100,10,1,1,32,0.99,1,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
88,100,10,1,1,32,0.99,0.5,0.1,0.985,0.0005,-151141,"   Woman  Man
0      1    7"
89,100,10,1,1,32,0.99,0.5,0.1,0.985,0.001,-101572,"   Woman  Man
0      0    7"
90,100,10,1,1,32,0.99,0.5,0.1,0.995,0.0005,-101572,"   Woman  Man
0      0    7"
91,100,10,1,1,32,0.99,0.5,0.1,0.995,0.001,-101572,"   Woman  Man
0      0    7"
92,100,10,1,1,32,0.99,0.5,0.001,0.985,0.0005,-111568,"   Woman  Man
0      0    8"
93,100,10,1,1,32,0.99,0.5,0.001,0.985,0.001,-101572,"   Woman  Man
0      0    7"
94,100,10,1,1,32,0.99,0.5,0.001,0.995,0.0005,-111568,"   Woman  Man
0      0    8"
95,100,10,1,1,32,0.99,0.5,0.001,0.995,0.001,-101572,"   Woman  Man
0      0    7"
96,100,10,1,1,64,0.9,1,0.1,0.985,0.0005,-101572,"   Woman  Man
0      0    7"
