,10,20,50
91,1797548416.0,2004047872.0,293092292820992.0
92,2225374720.0,4509480960.0,329745275289600.0
93,1924430592.0,2540536064.0,501991851687936.0
94,883946816.0,1891550208.0,509745240735744.0
95,1899845248.0,2570634752.0,734010447757312.0
96,1549173248.0,3039360512.0,722606839824384.0
97,1288263680.0,1796002816.0,1516099296296960.0
98,3093922304.0,2932465920.0,1141027721183232.0
99,1621068032.0,2809020928.0,1193485377994752.0
100,3158978560.0,2141331328.0,2024667984429056.0
101,3201696256.0,3470849536.0,1349567173885952.0
102,632633856.0,871014464.0,1932437856714752.0
103,1509781632.0,2246966272.0,2261757426925568.0
104,1257347840.0,2707866624.0,1986203867938816.0
105,1886017664.0,1751418240.0,2625151925485568.0
106,3250551808.0,1193742720.0,2668307220004864.0
107,1336242304.0,1814733184.0,3088887329062912.0
108,2406059264.0,1909143424.0,4258603418517504.0
109,2124936192.0,1661015296.0,4627225966018560.0
110,2150329856.0,1488792064.0,6439767126310912.0
111,2008226304.0,1467170048.0,8708722113118208.0
112,1193244672.0,3050636032.0,6104136370094080.0
113,1448874496.0,943485248.0,6685860162437120.0
114,1962803584.0,2182174720.0,1.0298410305323008e+16
115,1869329536.0,1222265856.0,8876415353094144.0
116,1233929600.0,1752702976.0,6891963831812096.0
117,1859967232.0,1499534080.0,8990273325498368.0
118,2358436608.0,864136448.0,1.2515525036867584e+16
119,1693517696.0,424599680.0,1.446348490539008e+16
120,1188981632.0,1437026816.0,1.4522015645958144e+16
121,2206590976.0,3354153472.0,1.3489941447180288e+16
122,2071502208.0,873005952.0,2.213598227070976e+16
123,1211338112.0,1228640256.0,1.939100424732672e+16
124,377969632.0,902316352.0,1.3014225500766208e+16
125,991266560.0,1824856960.0,1.2695363907485696e+16
126,558457728.0,1548791936.0,1.881778502710067e+16
127,1621096576.0,1809152512.0,1.7987047083999232e+16
128,993318272.0,953779904.0,3.4740525873496064e+16
129,164284032.0,1017992320.0,2.375640041704653e+16
130,1455338240.0,2589288448.0,3.796478359240704e+16
131,762821056.0,1146336128.0,2.8591045386174464e+16
132,1463910272.0,902627072.0,4.508148856730419e+16
133,1203173248.0,809088896.0,4.443898722962637e+16
134,3309216000.0,1281985536.0,4.18178459982889e+16
135,1258470784.0,1919259392.0,4.193320022992486e+16
136,784539520.0,1783121536.0,5.421501140015514e+16
137,989051264.0,1354144512.0,4.719346142570086e+16
138,1785595392.0,2947564288.0,5.624663830534554e+16
139,2216151552.0,1973722624.0,4.307251761460019e+16
140,841781376.0,1835342336.0,7.412837815995597e+16
141,2097697408.0,876104896.0,5.882571462698598e+16
142,335994592.0,1478424832.0,5.59402310434816e+16
143,1180140416.0,2000455552.0,9.649229864003174e+16
144,2404139520.0,1152145280.0,6.428064521545318e+16
145,1943586304.0,1757201024.0,6.11594795965481e+16
146,1895297664.0,1733431296.0,9.823520495868314e+16
147,1448398976.0,1853512448.0,1.06263933353984e+17
148,1302716672.0,1029893376.0,9.669726306933146e+16
149,771212544.0,1511413376.0,1.4564789010510643e+17
150,2222157824.0,393194336.0,1.1898318694331187e+17
151,2129733504.0,806596032.0,9.708320883055002e+16
152,900360512.0,803891072.0,1.3918348328828928e+17
153,891598592.0,2364399872.0,1.3858128592371712e+17
